cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
Champion of the Parish,Innistrad,0,4,1.5,2.29,cardkingdom,trollandtoad,38,2,%
Sunpetal Grove,Magic 2010,0,1,1.5,2.29,magicdotcards,trollandtoad,,10,%
Dragonskull Summit,Magic 2011,0,1,1.33,2.29,abugames,trollandtoad,16,9,%
Sisters of Stone Death,Ravnica: City of Guilds,0,1,1.02,2.29,abugames,trollandtoad,50,3,%
Norin the Wary,Time Spiral,0,1,2.12,2.29,abugames,trollandtoad,16,1,%
Kabira Evangel,Zendikar,0,1,1,2.29,capefeargames,trollandtoad,1,9,%
Hermit Druid,Stronghold,0,1,1,2.3,capefeargames,tcgplayer,8,,%
Siege-Gang Commander,Tenth Edition,0,1,1.3,2.3,cardkingdom,tcgplayer,10,,%
Insidious Dreams,Torment,0,1,1.5,2.33,magicdotcards,tcgplayer,,,%
Underground River,Ice Age,0,1,2.18,2.36,abugames,trollandtoad,8,2,%
Reya Dawnbringer,Tenth Edition,0,1,2,2.37,magicdotcards,tcgplayer,,,%
Storm Herd,Guildpact,0,1,1.28,2.38,abugames,tcgplayer,16,,%
Windbrisk Heights,Lorwyn,0,3,1.5,2.39,cardkingdom,tcgplayer,21,,%
Crackdown,Mercadian Masques,0,1,2.5,2.39,cardkingdom,trollandtoad,17,5,%
Prince of Thralls,Shards of Alara,0,1,2.5,2.39,magicdotcards,trollandtoad,,2,%
Aura Thief,Urza's Destiny,0,1,1.06,2.4,abugames,tcgplayer,8,,%
Yavimaya Coast,Apocalypse,0,2,2.25,2.49,cardkingdom,trollandtoad,15,13,%
Captain Sisay,Invasion,0,2,2.25,2.49,cardkingdom,trollandtoad,16,2,%
City of Brass,Modern Event Deck 2014,0,2,1.6,2.49,abugames,trollandtoad,8,1,%
Splinter Twin,Modern Masters 2015 Edition,0,3,1.55,2.49,abugames,trollandtoad,99,13,%
Sungrass Prairie,Odyssey,0,1,2,2.49,magicdotcards,trollandtoad,,1,%
Avatar of Woe,Prophecy,0,2,2,2.49,magicdotcards,trollandtoad,,1,%
Phytohydra,Ravnica: City of Guilds,0,1,1.8,2.49,cardkingdom,trollandtoad,11,5,%
Contagion Engine,Scars of Mirrodin,0,1,2,2.49,magicdotcards,trollandtoad,,12,%
Polluted Bonds,Shadowmoor,0,1,2,2.49,capefeargames,trollandtoad,7,3,%
Saffi Eriksdotter,Time Spiral,0,2,1.6,2.49,abugames,trollandtoad,16,6,%
Lightning Crafter,Morningtide,0,1,1.5,2.52,capefeargames,tcgplayer,7,,%
Evacuation,Tenth Edition,0,1,1.3,2.53,cardkingdom,tcgplayer,10,,%
Oversoul of Dusk,Shadowmoor,0,1,2.2,2.55,cardkingdom,tcgplayer,16,,%
Goblin King,Ninth Edition,0,1,2,2.59,magicdotcards,abugames,,0,%
Myr Matrix,Darksteel,0,2,1.5,2.64,magicdotcards,tcgplayer,,,%
Pithing Needle,Magic 2010,0,1,1.75,2.66,cardkingdom,tcgplayer,14,,%
Sanguine Bond,Magic 2010,0,1,2,2.69,magicdotcards,tcgplayer,,,%
Steely Resolve,Onslaught,0,1,1.81,2.69,abugames,trollandtoad,12,1,%
Rhys the Exiled,Morningtide,0,1,1.6,2.76,abugames,tcgplayer,16,,%
Wargate,Alara Reborn,0,2,2,2.79,cardkingdom,trollandtoad,14,2,%
Llanowar Wastes,Apocalypse,0,2,2,2.79,cardkingdom,trollandtoad,10,1,%
Synapse Sliver,Legions,0,1,3,2.79,magicdotcards,trollandtoad,,1,%
Ethersworn Canonist,Shards of Alara,0,1,2.56,2.79,abugames,trollandtoad,16,1,%
Sunder,Urza's Saga,0,1,1.2,2.85,abugames,tcgplayer,15,,%
Vedalken Orrery,Conspiracy,0,1,2.8,2.89,abugames,trollandtoad,12,3,%
Absorb,Invasion,0,1,2.25,2.89,cardkingdom,trollandtoad,16,3,%
Patron of the Orochi,Betrayers of Kamigawa,0,2,2.3,2.99,cardkingdom,trollandtoad,10,9,%
Budoka Gardener,Champions of Kamigawa,0,2,2,2.99,capefeargames,trollandtoad,6,6,%
Primal Command,Lorwyn,0,1,2.06,2.99,abugames,trollandtoad,30,6,%
Knight Exemplar,Magic 2011,0,1,1.75,2.99,cardkingdom,trollandtoad,30,11,%
Thragtusk,Magic 2013,0,1,3.65,2.99,cardkingdom,trollandtoad,36,1,%
Rest in Peace,Return to Ravnica,0,2,3,2.99,magicdotcards,trollandtoad,,20,%
"Sedris, the Traitor King",Shards of Alara,0,1,2,2.99,magicdotcards,trollandtoad,,1,%
Awakening,Stronghold,0,1,3.25,2.99,abugames,trollandtoad,10,22,%
Goblin Welder,Urza's Legacy,0,2,2.05,2.99,cardkingdom,trollandtoad,21,2,%
