Count,Tradelist Count,Name,Edition,My Price,Price
5,5,Angelfire Crusader,Apocalypse,0.16,$0.14
44,8,Angelic Captain,Battle for Zendikar,0.3,$0.27
2,2,Angelic Curator,Urza's Legacy,0.18,$0.16
4,4,Angelic Favor,Nemesis,0.21,$0.21
1,1,Angelic Overseer,Innistrad,2.22,$2.25
1,1,Angelic Page,Urza's Saga,0.18,$0.16
8,8,Angelic Skirmisher,Gatecrash,0.74,$0.73
32,8,Anger of the Gods,Theros,2.3,$2.24
2,2,Angry Mob,The Dark,0.24,$0.23
17,8,Anguished Unmaking,Shadows over Innistrad,1.86,$2.12
1,1,"Animar, Soul of Elements",Commander,23.92,$23.69
1,1,Animate Artifact,Revised Edition,0.19,$0.18
3,3,Animate Dead,Revised Edition,1.15,$1.14
4,4,Animate Land,Nemesis,0.22,$0.23
34,8,Animist's Awakening,Magic Origins,0.69,$0.98
4,4,Ankh of Mishra,Revised Edition,0.58,$0.52
1,1,Ankh of Mishra,Classic Sixth Edition,0.74,$0.80
35,8,Ankle Shanker,Khans of Tarkir,0.29,$0.27
3,3,Annihilate,Invasion,0.21,$0.20
2,2,Annul,Urza's Saga,0.17,$0.16
56,8,"Anthousa, Setessan Hero",Theros,0.26,$0.23
1,1,Anti-Magic Aura,Legends,0.21,$0.21
1,1,Apathy,Weatherlight,0.17,$0.14
1,1,Apprentice Necromancer,Urza's Destiny,1.49,$1.45
1,1,Apprentice Wizard,The Dark,1,$1.03
1,1,Apprentice Wizard,Fourth Edition,0.14,$0.17
8,8,Arachnus Spinner,Magic 2012,0.29,$0.26
27,8,Arashin Foremost,Dragons of Tarkir,0.59,$0.61
28,8,Arashin Sovereign,Dragons of Tarkir,0.36,$0.32
19,8,Arbiter of the Ideal,Born of the Gods,0.27,$0.26
47,8,Arbor Colossus,Theros,0.26,$0.25
2,2,Arboria,Legends,9.65,$8.85
1,1,Arc Lightning,Urza's Saga,0.19,$0.16
5,5,Arc Mage,Nemesis,0.19,$0.20
38,8,Arcane Melee,Avacyn Restored,0.35,$0.30
33,8,Arcbond,Fate Reforged,0.27,$0.25
2,2,Arcbound Ravager,Darksteel,43.94,$44.14
5,5,Archaeological Dig,Invasion,0.33,$0.31
2,2,Archangel Avacyn,Shadows over Innistrad,20.71,$21.16
1,1,Archangel of Thune,Magic 2014 Core Set,22.84,$24.12
7,7,Archangel of Tithes,Magic Origins,5,$5.69
13,8,Archangel's Light,Dark Ascension,0.87,$0.84
23,8,Archfiend of Depravity,Fate Reforged,0.53,$0.59
9,8,Archon of Justice,Magic 2012,0.34,$0.32
76,8,Archon of the Triumvirate,Return to Ravnica,0.27,$0.26
32,8,Archwing Dragon,Avacyn Restored,0.41,$0.42
1,1,Arctic Foxes,Ice Age,0.16,$0.14
9,8,Arctic Merfolk,Planeshift,0.17,$0.14
1,1,Arcum's Sleigh,Ice Age,0.19,$0.17
1,1,Arcum's Whistle,Ice Age,0.19,$0.19
4,4,Ardent Soldier,Invasion,0.17,$0.15
4,4,Arena,Media Inserts,0,$1.34
1,1,Arena of the Ancients,Legends,4.66,$5.47
10,8,Argent Sphinx,Scars of Mirrodin,0.28,$0.26
1,1,Argivian Archaeologist,Antiquities,18.82,$17.87
1,1,Argivian Blacksmith,Antiquities,0.18,$0.20
1,1,Argothian Pixies,Antiquities,0.19,$0.20
1,1,Argothian Swine,Urza's Saga,0.17,$0.15
2,2,Argothian Treefolk,Antiquities,0.19,$0.20
1,1,Argothian Treefolk,Antiquities,0.19,$0.20
1,1,Argothian Wurm,Urza's Saga,0.87,$1.05
8,8,Arlinn Kord,Shadows over Innistrad,10.92,$11.31
23,8,Armada Wurm,Return to Ravnica,0.97,$0.98
5,5,Armadillo Cloak,Invasion,0.45,$0.46
1,1,Armageddon Clock,Revised Edition,0.32,$0.30
1,1,Armageddon Clock,Fourth Edition,0.24,$0.29
2,2,Armor of Faith,Ice Age,0.16,$0.14
2,2,Armor of Thorns,Mirage,0.16,$0.14
7,7,Armor Thrull,Fallen Empires,0.17,$0.14
4,4,Armor Thrull,Fallen Empires,0.17,$0.17
4,4,Armor Thrull,Fallen Empires,0.17,$0.17
5,5,Armor Thrull,Fallen Empires,0.17,$0.17
1,1,Armored Pegasus,Classic Sixth Edition,0.14,$0.15
1,1,Armorer Guildmage,Mirage,0.16,$0.14
1,1,Arms Dealer,Mercadian Masques,0.24,$0.23
1,1,Army Ants,Visions,0.22,$0.19
3,3,Army of the Damned,Innistrad,2.5,$2.53
1,1,Arrest,Mercadian Masques,0.22,$0.20
4,4,Artifact Blast,Antiquities,0.22,$0.29
2,2,Artifact Mutation,Invasion,2.07,$2.04
1,1,Artifact Possession,Antiquities,0.19,$0.19
2,2,Artifact Possession,Antiquities,0.19,$0.19
1,1,Artifact Ward,Antiquities,0.19,$0.21
3,3,Artifact Ward,Antiquities,0.19,$0.21
60,8,Artisan of Forms,Theros,0.27,$0.25
2,2,Ascendant Evincar,Nemesis,0.89,$1.01
2,2,Asceticism,Scars of Mirrodin,9.45,$9.47
32,8,Ash Zealot,Return to Ravnica,0.52,$0.62
11,8,Ashcloud Phoenix,Khans of Tarkir,0.7,$0.68
1,1,Ashen Ghoul,Ice Age,0.28,$0.32
27,8,Ashen Rider,Theros,1.19,$1.16
5,5,Ashes to Ashes,The Dark,0.29,$0.27
1,1,"Ashiok, Nightmare Weaver",Theros,6.94,$7.27
1,1,Ashnod's Altar,Antiquities,11.68,$11.26
1,1,Ashnod's Transmogrant,Antiquities,0.36,$0.39
1,1,Assault // Battery,Invasion,0,$0.18
27,8,Assault Formation,Dragons of Tarkir,1.22,$1.34
16,8,Assemble the Legion,Gatecrash,1.46,$1.49
24,8,Astral Cornucopia,Born of the Gods,0.38,$0.36
9,8,Asylum Visitor,Shadows over Innistrad,0.95,$1.17
1,1,"Atalya, Samite Master",Invasion,0.5,$0.55
1,1,Atarka's Command,Dragons of Tarkir,5.85,$6.39
35,8,"Atarka, World Render",Fate Reforged,0.55,$0.55
8,8,"Athreos, God of Passage",Journey into Nyx,11.27,$12.25
6,6,Atog,Revised Edition,0.18,$0.18
7,7,Aura Blast,Planeshift,0.19,$0.16
2,2,Aura Flux,Urza's Legacy,0.17,$0.15
6,6,Aura Fracture,Prophecy,0.17,$0.14
1,1,Aura Mutation,Invasion,1.7,$1.62
1,1,Aura of Silence,Weatherlight,1.38,$1.41
1,1,Aura Shards,Invasion,5.8,$5.77
16,8,Aurelia's Fury,Gatecrash,1.12,$1.13
2,2,"Aurelia, the Warleader",Gatecrash,4.24,$4.41
1,1,Aurochs,Ice Age,0.17,$0.15
8,8,Aurora Griffin,Planeshift,0.17,$0.14
1,1,Austere Command,Lorwyn,10.39,$10.31
19,8,Avacyn's Judgment,Shadows over Innistrad,0.68,$0.73
2,2,"Avacyn, Angel of Hope",Avacyn Restored,24.66,$25.65
12,8,"Avacyn, Guardian Angel",Magic 2015 Core Set,0.57,$0.62
1,1,Avalanche Riders,Urza's Legacy,1.17,$1.21
29,8,Avalanche Tusker,Khans of Tarkir,0.32,$0.26
2,2,Avarice Amulet,Magic 2015 Core Set,0.26,$0.23
12,8,Avaricious Dragon,Magic Origins,1.4,$1.59
1,1,Avatar of Might,Prophecy,0.53,$0.60
67,8,Avatar of the Resolute,Dragons of Tarkir,0.92,$1.09
1,1,Avatar of Will,Prophecy,0.6,$0.64
2,2,Avatar of Woe,Prophecy,3.01,$3.22
1,1,Aven Mindcensor,Future Sight,10.4,$10.67
1,1,Avenger en-Dal,Nemesis,0.37,$0.35
1,1,Avenging Druid,Exodus,0.17,$0.15
1,1,Avizoa,Weatherlight,0.34,$0.33
2,2,Avoid Fate,Legends,0.9,$1.36
12,8,Awaken the Ancient,Magic 2014 Core Set,0.33,$0.31
1,1,Axelrod Gunnarson,Legends,2.37,$2.67
44,8,"Ayli, Eternal Pilgrim",Oath of the Gatewatch,1,$1.09
6,6,Aysen Abbey,Homelands,0.21,$0.20
1,1,Aysen Bureaucrats,Homelands,0.18,$0.17
1,1,Azimaet Drake,Mirage,0.17,$0.14
52,8,Azor's Elocutors,Return to Ravnica,0.27,$0.26
40,8,Back from the Brink,Innistrad,0.28,$0.26
1,1,Backfire,Legends,0.48,$0.48
2,2,Backlash,Invasion,0.44,$0.43
1,1,Badlands,Revised Edition,78.15,$75.21
1,1,Badlands,Revised Edition,78.15,$75.21
3,3,Badlands,Revised Edition,78.15,$75.21
2,2,Balance,Revised Edition,1.3,$1.41
1,1,Balduvian Conjurer,Ice Age,0.19,$0.17
1,1,Balduvian Horde,Classic Sixth Edition,0.4,$0.41
1,1,Balduvian Shaman,Ice Age,0.15,$0.13
1,1,Balduvian Trading Post,Alliances,0.41,$0.36
1,1,Ball Lightning,The Dark,4.72,$5.66
1,1,Ballista Squad,Mercadian Masques,0.19,$0.17
4,4,Balloon Peddler,Mercadian Masques,0.17,$0.14
1,1,Balm of Restoration,Fallen Empires,0.35,$0.29
2,2,Bandage,Stronghold,0.17,$0.15
1,1,Baneslayer Angel,Magic 2010,9.69,$10.02
2,2,Baneslayer Angel,Magic 2011,9.69,$10.16
2,2,Banshee,The Dark,0.23,$0.20
1,1,Banshee,The Dark,0.23,$0.20
2,2,Barbed Field,Prophecy,0.2,$0.20
2,2,Barbed Sextant,Ice Age,0.15,$0.14
1,1,Barbed Wire,Mercadian Masques,0.2,$0.19
2,2,Barl's Cage,The Dark,0.39,$0.42
28,8,Barrage Tyrant,Battle for Zendikar,0.26,$0.24
4,4,Barrin's Unmaking,Invasion,0.17,$0.14
1,1,Barrow Ghoul,Weatherlight,0.16,$0.14
3,3,Basal Thrull,Fallen Empires,0.18,$0.18
4,4,Basal Thrull,Fallen Empires,0.18,$0.18
6,6,Basal Thrull,Fallen Empires,0.18,$0.18
4,4,Basal Thrull,Fallen Empires,0.18,$0.17
1,1,Basalt Monolith,Revised Edition,0.8,$0.90
1,1,Baton of Morale,Ice Age,0.22,$0.21
1,1,Battering Ram,Antiquities,0.19,$0.19
1,1,Battering Ram,Fourth Edition,0.14,$0.14
2,2,Battle Frenzy,Ice Age,0.16,$0.14
39,8,Battle of Wits,Magic 2013,0.36,$0.30
5,5,Battle Rampart,Mercadian Masques,0.17,$0.14
9,8,Battlefield Forge,Magic 2015 Core Set,1.45,$1.63
31,8,Battlefield Forge,Magic Origins,1.35,$1.49
